symbol,total_deletions
ɪ,1329
ʌ,1116
t,815
n,760
ʊ,703
ɹ,635
d,485
ɛ,374
l,351
ʔ,348
m,300
s,272
i,227
v,205
ð,202
ɾ̃,198
e,194
j,163
a,161
ɾ,148
o,137
z,131
æ,129
k,123
w,123
n̩,123
ʃ,118
h,114
u,104
b,101
ɑ,101
ŋ,100
ɹ̩,94
ʒ,80
ɡ,61
f,61
θ,57
ɔ,55
p,50
l̩,33
m̩,32
ʌ̃,13
ʊ̃,12
ɪ̃,10
ɛ̃,6
æ̃,5
õ,5
ĩ,5
ẽ,2
I,1
E,1
ã,1
A,1
U,1
H,1
β,1
