symbol,total_deletions
ʌ,1999
ɪ,1756
ʊ,906
n,752
ʃ,636
ɛ,558
m,494
i,485
a,485
s,484
ʒ,463
ɹ,451
o,436
t,421
j,415
ɾ̃,299
d,284
l,251
k,244
ð,232
ʔ,206
e,203
w,189
z,173
ɑ,159
f,152
u,151
n̩,149
ɹ̩,141
æ,138
h,136
ɾ,136
v,125
b,108
m̩,92
θ,86
ɔ,68
p,58
ɡ,50
ŋ,37
l̩,27
ʊ̃,21
õ,12
ɪ̃,11
ʌ̃,10
ɛ̃,6
æ̃,6
ĩ,5
ã,3
ẽ,2
E,1
H,1
β,1
