symbol,total_insertions
n,1475
ɪ,1417
t,1294
ə,1257
d,995
l,836
ɹ,610
s,528
a,500
ʊ,437
ð,413
æ,408
m,397
h,387
ɛ,374
i,333
v,303
k,268
iː,262
ɚ,261
ɐ,242
z,233
ʌ,228
ɑː,222
w,211
e,196
p,150
b,146
ŋ,142
uː,141
ɾ,139
o,120
ɡ,114
ᵻ,90
f,89
ɜː,81
θ,76
j,69
ɔː,68
ʒ,65
ʃ,60
ɑ,55
aː,47
ɔ,41
r,36
ɜ,35
eː,31
ħ,15
x,15
u,14
ɕ,13
ɲ,11
ɨ,10
ʔ,9
oː,8
ø,4
y,4
ç,3
ʉ,2
ɬ,1
i̪,1
