symbol,total_insertions
ɪ,1313
n,765
ʌ,736
ʊ,567
t,511
d,433
ʔ,354
ð,343
ɹ,335
l,320
ɛ,319
m,287
s,284
i,234
ɾ,223
v,197
w,175
k,175
z,172
a,160
ɾ̃,157
e,156
n̩,136
j,134
ɹ̩,132
b,126
ʃ,126
h,124
æ,113
o,113
ŋ,107
ɑ,85
u,82
ɡ,76
p,76
f,74
θ,73
ʒ,62
ɔ,57
l̩,37
