symbol,total_deletions
ɪ,1453
ʌ,1257
t,803
n,704
ʊ,653
ɹ,623
d,487
ɛ,412
ʔ,379
s,366
l,342
m,304
m̩,301
i,255
n̩,239
a,194
e,188
ð,176
o,170
v,162
h,161
ɾ̃,160
ʃ,152
u,143
j,141
z,139
w,138
ŋ,134
æ,132
k,130
ɑ,129
ɾ,108
ɹ̩,108
ʒ,106
b,84
ɔ,78
p,74
f,66
θ,64
ɡ,51
l̩,44
ʌ̃,21
ʊ̃,14
ɪ̃,14
õ,9
ɛ̃,7
ĩ,3
O,1
I,1
E,1
ẽ,1
ã,1
H,1
æ̃,1
β,1
