symbol,total_deletions
ʌ,1667
ɪ,1495
ʊ,998
ɹ,900
t,724
ʔ,611
l,497
ɛ,422
i,359
n,343
o,329
m,323
j,312
s,297
d,296
m̩,238
u,236
ʃ,205
æ,180
a,180
ɹ̩,179
ɾ̃,174
e,165
ɑ,161
h,158
ð,145
k,142
v,131
ɾ,130
w,120
z,120
n̩,110
ŋ,107
ʒ,104
ɔ,90
θ,83
b,69
p,56
f,49
l̩,43
ʊ̃,36
ɡ,23
ʌ̃,12
õ,12
ɪ̃,8
ɛ̃,4
ĩ,2
ã,2
E,1
æ̃,1
β,1
