symbol,total_deletions
ɪ,1308
ʌ,1235
t,851
ʊ,706
ɹ,657
n,655
d,456
ɛ,388
l,381
s,354
ʔ,343
m,329
i,230
m̩,221
ð,209
v,203
e,200
j,192
o,190
z,189
h,186
a,171
ʃ,166
k,161
w,157
ɾ̃,157
æ,153
u,143
ɑ,120
ʒ,116
n̩,111
ŋ,110
ɹ̩,110
ɾ,99
θ,97
f,88
b,83
p,74
ɔ,56
ɡ,49
l̩,37
ɪ̃,16
ʊ̃,16
ʌ̃,12
õ,7
ɛ̃,7
æ̃,3
β,2
ĩ,2
E,1
I,1
ɔ̃,1
ẽ,1
ã,1
A,1
U,1
H,1
