symbol,total_deletions
ɪ,1189
n,984
ʌ,854
t,845
ʊ,784
ɹ,729
d,543
l,513
m,363
ɛ,333
ʔ,321
s,252
i,202
ɾ̃,175
ð,174
j,172
v,154
ŋ,150
e,150
w,150
z,141
a,140
o,135
h,132
ʃ,130
ɾ,129
u,121
k,117
æ,115
n̩,110
b,87
ɑ,85
ʒ,84
ɹ̩,81
θ,65
p,58
ɡ,56
f,51
ɔ,48
m̩,38
l̩,31
ɪ̃,16
ʊ̃,15
ʌ̃,14
õ,7
ɛ̃,6
ĩ,5
æ̃,4
E,1
ẽ,1
ã,1
A,1
U,1
H,1
β,1
