symbol,total_insertions
ɪ,1131
n,574
ʌ,530
t,497
ʊ,488
l,315
ɛ,296
s,295
d,289
ʔ,277
ɹ,275
ð,263
m,220
v,201
i,185
ɾ,179
ʃ,164
k,161
e,148
z,133
a,131
w,124
h,121
ɾ̃,115
b,108
æ,99
ŋ,94
j,94
ɹ̩,92
n̩,91
f,89
o,83
p,82
ɑ,81
θ,73
u,72
ʒ,70
ɡ,63
ɔ,43
m̩,37
l̩,37
ʌ̃,6
ɪ̃,4
ʊ̃,3
õ,2
æ̃,1
