symbol,total_deletions
ɪ,1667
ʊ,1056
ʌ,1028
ɹ,665
n,645
t,560
l,412
d,391
m,348
ɛ,316
ʔ,303
i,270
j,241
s,234
ð,203
a,186
v,185
o,185
w,168
ʃ,165
e,157
h,156
ɾ̃,154
u,129
æ,129
ʒ,123
ŋ,118
n̩,113
b,104
z,102
k,100
ɾ,95
ɹ̩,89
ɑ,75
ɔ,63
p,61
θ,56
l̩,51
m̩,48
ɡ,46
f,39
ʊ̃,18
ɪ̃,15
ʌ̃,11
ɛ̃,8
ĩ,6
õ,6
ã,3
E,1
ẽ,1
A,1
U,1
H,1
æ̃,1
β,1
