symbol,total_insertions
ɪ,1116
ʌ,694
n,606
ʊ,523
t,478
ɹ,305
s,296
d,286
ɛ,276
ð,271
l,268
ʔ,248
m,220
i,193
v,187
e,178
ɾ,171
ʃ,166
z,162
k,152
w,140
a,131
b,131
ɾ̃,123
ɹ̩,118
j,115
æ,102
ŋ,102
h,100
o,97
n̩,91
p,84
ɑ,81
ʒ,77
f,77
u,76
θ,76
ɡ,61
ɔ,41
l̩,35
m̩,34
ɪ̃,5
ʌ̃,4
ɛ̃,4
æ̃,2
ʊ̃,1
