symbol,total_deletions
ɪ,2686
ʌ,2671
ʊ,1358
ɛ,916
n,864
ɹ,793
m,737
s,711
t,684
j,668
ʃ,648
i,579
o,556
d,541
ʒ,525
ʔ,514
l,506
ɾ̃,417
ð,377
a,372
h,365
æ,350
ɾ,316
w,313
z,300
e,283
m̩,271
k,263
ɑ,255
v,219
n̩,204
ɹ̩,202
u,195
f,172
b,165
ŋ,133
θ,132
ɔ,129
p,105
ɡ,89
l̩,68
ʊ̃,52
õ,35
ɪ̃,17
ʌ̃,14
ɛ̃,10
ĩ,6
æ̃,4
E,1
ẽ,1
ɔ̃,1
ã,1
H,1
β,1
