symbol,total_insertions
ɪ,1322
ʌ,802
n,506
ʊ,467
t,391
ð,344
s,296
ɛ,281
ɹ,271
l,268
d,241
ʔ,234
v,203
e,203
i,198
ɾ,194
m,184
k,160
a,159
w,158
z,152
ʃ,145
ɹ̩,131
b,118
h,117
æ,114
j,113
ʒ,108
n̩,103
ɾ̃,99
ɑ,99
ŋ,92
θ,85
p,81
o,81
f,79
u,67
ɡ,60
ɔ,51
l̩,39
m̩,31
æ̃,2
ʊ̃,1
