symbol,total_deletions
ɪ,1267
ʌ,1077
n,794
ʊ,765
ɹ,747
t,725
d,462
l,371
ɛ,339
m,332
ʔ,281
s,251
i,216
j,211
e,205
ɾ̃,190
ð,189
a,178
v,176
o,170
w,169
ʃ,146
z,140
h,136
æ,134
u,126
k,121
ɾ,116
ʒ,115
ɹ̩,115
n̩,113
ŋ,107
ɑ,99
b,89
ɔ,58
θ,53
f,51
p,51
ɡ,48
m̩,34
l̩,25
ʊ̃,17
ʌ̃,13
ɪ̃,11
ɛ̃,7
ĩ,6
æ̃,4
õ,4
E,1
ɑ̃,1
ẽ,1
A,1
U,1
H,1
ã,1
β,1
