symbol,total_deletions
ʌ,2874
ɪ,2740
ɹ,1516
ʊ,1272
n,1248
t,1228
ʔ,874
l,808
s,772
ɛ,732
d,620
m,508
h,462
i,446
ʃ,376
o,362
j,360
m̩,342
æ,314
u,292
ð,280
v,274
a,274
ɹ̩,270
w,264
z,254
e,230
n̩,224
ɾ̃,218
k,216
ʒ,176
ɑ,164
ŋ,140
ɾ,128
b,124
f,116
p,102
ɔ,72
l̩,70
θ,60
ɡ,58
ʊ̃,26
ʌ̃,22
õ,10
ɪ̃,10
ɛ̃,10
ã,4
E,2
ɑ̃,2
ĩ,2
β,2
