symbol,total_insertions
t,2635
ə,2309
d,1845
n,1527
j,1262
l,1026
ɹ,1024
w,958
ɪ,781
ð,683
v,646
æ,632
z,442
h,411
m,394
s,376
b,369
a,344
ɛ,344
ŋ,338
i,334
k,330
ɑ,320
ɹ̩,311
ʌ,254
θ,235
u,220
ɔ,198
o,192
e,167
p,117
ɡ,114
f,92
d͡ʒ,77
t͡ʃ,56
ʊ,33
ʃ,24
ʒ,1
