symbol,total_insertions
ɪ,1330
n,822
ʌ,815
ʊ,633
t,555
d,406
l,395
ɹ,395
ɛ,377
ð,376
s,322
m,309
ʔ,301
i,259
ɾ,245
v,245
w,210
k,203
a,174
e,172
z,172
ɾ̃,170
ʃ,167
b,157
h,157
æ,146
j,145
ɹ̩,130
o,125
ŋ,119
p,102
ɑ,102
θ,98
u,98
f,97
ʒ,90
ɡ,71
ɔ,56
l̩,32
n̩,27
