symbol,total_deletions
ɪ,1251
ʌ,895
ʊ,771
n,767
t,713
ɹ,687
d,466
l,435
m,323
ɛ,315
ʔ,266
s,252
i,204
ð,191
ɾ̃,183
v,180
j,172
e,164
w,160
ʃ,150
a,147
o,140
ɾ,134
z,123
ŋ,120
h,118
u,118
æ,114
n̩,112
k,109
ʒ,107
ɑ,87
ɹ̩,84
b,74
θ,51
ɔ,46
f,45
p,45
ɡ,41
m̩,36
l̩,31
ʊ̃,15
ɪ̃,12
ʌ̃,7
ɛ̃,7
ĩ,6
õ,5
æ̃,2
ɑ̃,2
E,1
I,1
ẽ,1
A,1
U,1
H,1
ã,1
β,1
