symbol,total_insertions
t,1894
ə,1604
n,1126
j,1124
d,1115
l,782
ɹ,779
w,748
ɪ,532
ð,472
æ,434
v,413
s,405
i,404
a,350
ɛ,324
m,300
k,266
z,262
b,260
h,236
ɹ̩,209
ʌ,205
ŋ,188
o,188
u,187
ɑ,185
e,166
ɔ,150
θ,115
p,109
f,81
ɡ,75
d͡ʒ,64
t͡ʃ,50
ʃ,26
ʊ,19
ʒ,1
