symbol,total_insertions
ɪ,1208
n,631
ʊ,621
ʌ,491
t,399
ɹ,341
l,325
s,301
ɛ,300
d,275
m,247
ð,243
i,213
ʔ,207
ʃ,201
w,194
ɾ,170
k,154
h,151
z,148
e,145
a,130
v,128
j,125
b,125
ʒ,117
o,115
æ,114
ŋ,109
ɹ̩,105
ɾ̃,103
u,91
p,88
f,83
θ,78
ɡ,76
ɑ,76
n̩,74
ɔ,35
m̩,33
l̩,33
æ̃,2
ɛ̃,2
ɑ̃,1
