symbol,total_deletions
ʌ,1830
ɪ,1592
ʊ,834
n,633
ʃ,625
ɛ,497
ʒ,449
i,446
ɹ,430
m,428
a,412
s,405
o,392
t,371
j,359
ɾ̃,275
d,254
ð,227
l,194
ʔ,192
k,189
e,187
w,164
z,141
u,132
n̩,128
f,126
ɹ̩,124
ɾ,124
ɑ,123
v,111
h,108
æ,102
b,79
θ,76
m̩,53
ɔ,46
p,46
ɡ,37
ŋ,27
l̩,24
ʊ̃,22
õ,15
ɪ̃,11
ʌ̃,7
æ̃,6
ĩ,5
ɛ̃,4
ã,3
ẽ,3
H,1
β,1
