symbol,total_insertions
t,3133
ə,3047
d,2091
n,1776
j,1598
w,1266
ð,1228
l,1187
ɹ,1181
ɪ,1016
æ,916
v,704
z,689
s,575
a,517
m,510
k,485
h,481
i,467
ɛ,458
b,454
θ,425
ŋ,423
ɑ,390
ɹ̩,382
u,358
ʌ,345
o,319
e,252
ɔ,251
p,181
ɡ,163
f,128
d͡ʒ,96
t͡ʃ,74
ʊ,50
ʃ,45
ʒ,6
