symbol,total_deletions
ɪ,4597
ʌ,3043
ʊ,1927
ɹ,1286
ʔ,1008
t,973
l,924
s,648
ɛ,623
d,589
ð,538
ɹ̩,477
æ,466
n,444
ɾ,421
o,402
i,353
a,320
m,304
ɾ̃,292
ʃ,292
u,276
ŋ,264
ɑ,262
z,258
ʒ,256
w,254
n̩,250
k,240
e,218
h,216
j,210
v,164
m̩,162
b,153
θ,144
ɔ,121
f,107
p,104
l̩,89
ɡ,89
ʊ̃,54
õ,20
ʌ̃,11
ɪ̃,11
ɛ̃,8
β,3
ã,3
æ̃,1
E,1
I,1
ẽ,1
̃,1
ĩ,1
ɑ̃,1
