symbol,total_insertions
ʔ,4472
ɨ,3036
ɪ,2324
t,1814
n,1592
ə,1488
ʊ,1294
ɑ,816
h,790
d,774
a,762
s,748
ɦ,738
l,730
ð,704
ɚ,704
ɛ,700
z,676
m,574
v,570
ʌ,524
i,488
k,486
æ,480
ɹ,476
ɾ,458
w,450
e,436
p,404
ə̥,356
o,342
b,338
ʉ,298
n̩,294
ŋ,290
ɾ̃,278
θ,246
j,234
f,234
ɡ,204
ɹ̩,194
ɔ,192
ʃ,164
ʒ,148
l̩,130
H,94
u,74
X,24
m̩,12
