symbol,total_insertions
ɪ,843
t,740
ʌ,663
n,654
d,377
ɛ,357
ʊ,341
s,326
ɹ,322
l,306
ð,269
ʔ,231
m,219
ɾ,219
k,175
z,175
v,174
i,173
e,157
w,143
ɹ̩,127
ʃ,119
ɑ,119
ɾ̃,119
b,113
æ,112
h,109
n̩,97
a,94
f,93
j,87
θ,79
ŋ,79
p,72
o,67
ʒ,66
ɡ,62
u,59
ɔ,37
m̩,28
l̩,28
æ̃,2
ɪ̃,1
ɛ̃,1
