symbol,total_insertions
ɪ,1315
ʌ,769
n,697
ʊ,636
t,435
ɹ,365
d,342
s,307
ɛ,306
ð,282
m,267
l,259
i,228
ɾ,221
v,217
ʔ,207
w,179
k,178
e,172
a,168
z,143
ɾ̃,143
h,142
b,138
æ,133
ɹ̩,128
o,121
ʃ,118
j,116
ɑ,98
ŋ,95
f,89
p,87
θ,84
ʒ,79
ɡ,75
u,65
ɔ,46
n̩,32
l̩,27
