symbol,total_deletions
ɪ,1474
ʌ,1310
t,1019
n,896
ʊ,758
ɹ,665
ʔ,586
d,546
l,482
ɛ,476
s,381
m,367
m̩,324
i,269
n̩,245
ð,234
o,211
v,201
e,200
a,199
ɾ̃,196
j,191
z,186
w,168
ʃ,168
æ,166
u,163
h,150
ŋ,146
ɑ,137
k,133
ʒ,123
ɾ,119
ɔ,104
f,102
ɹ̩,96
p,87
b,81
θ,81
ɡ,66
l̩,51
ʊ̃,19
ɪ̃,12
ʌ̃,12
ɛ̃,8
õ,6
æ̃,4
ĩ,3
β,2
ẽ,2
ã,2
I,1
E,1
A,1
U,1
H,1
