symbol,total_insertions
ɪ,1348
n,689
ʌ,621
t,557
ʊ,534
d,436
ʔ,395
ɹ,384
l,338
ɛ,309
m,296
ð,296
s,283
ɾ,242
i,207
w,201
k,195
v,187
h,181
z,172
e,159
ɾ̃,154
a,150
b,138
ɹ̩,126
o,123
j,120
æ,118
ŋ,108
ʃ,108
p,97
ɑ,95
θ,91
ʒ,91
ɡ,86
f,82
n̩,72
u,64
ɔ,50
l̩,24
m̩,8
