model,phone_error_rates,phone_feature_error_rates,feature_error_rates
allosaurus_eng2102_eng,0.3910937041109452,4.481382275132275,0.23978061869361703
ginic/full_dataset_train_3_wav2vec2-large-xlsr-53-buckeye-ipa,0.2753254021001826,3.420601851851852,0.21664569040510911
ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.648082032801558,6.092513227513226,0.30039336750966883
openai_whisper-large-v3-turbo_to_epitran,0.3743117230504837,4.463756613756614,0.25465573335727953
openai_whisper-medium.en_to_epitran,0.37480096077213054,4.466164021164022,0.2540273295062054
