symbol,total_deletions
ʔ,196
t,167
ə,117
ɨ,116
ɪ,115
ɹ,88
l,84
d,77
h,52
ʊ,46
g,40
ə̥,38
j,36
n,35
k,27
ɚ,25
s,23
ɝ,19
ð,19
z,16
ɛ,15
w,14
ɦ,13
v,12
ʃ,9
H,9
m,8
n̩,8
ʌ,7
e,6
b,6
o,6
ɑ,6
θ,6
l̩,5
ɡ,5
ɔ,4
ʒ,4
æ,4
m̩,3
i,2
p,2
ɾ̃,2
ʉ,2
a,1
u,1
ɾ,1
ŋ,1
