symbol,total_deletions
ʔ,2394
ɨ,877
ɪ,693
ʒ,638
ʃ,629
ʊ,439
t,243
ə,166
ɹ,165
ɛ,154
ɚ,112
g,110
ʌ,105
h,95
e,82
ɑ,76
ɔ,72
ʉ,66
d,57
i,45
ɾ,43
ə̥,43
ɦ,42
s,40
n,33
w,29
a,26
l̩,26
j,25
ɾ̃,25
n̩,22
v,21
k,18
l,16
ɹ̩,12
θ,10
p,10
æ,10
f,10
ŋ,8
z,7
u,7
ɡ,6
H,6
o,6
ð,4
m,4
m̩,2
b,2
