symbol,total_insertions
ʔ,513
ɹ,273
t,254
ɨ,250
n,194
l,183
d,179
ɪ,176
ə,158
k,151
j,113
ʊ,99
ð,83
ɚ,70
ə̥,69
m,66
ɡ,56
v,45
ɾ,43
h,39
i,38
ɹ̩,35
w,30
o,28
ŋ,24
ɛ,22
ɦ,21
ʒ,19
X,18
e,15
ʌ,15
s,14
ʃ,14
z,14
f,13
ʉ,12
ɾ̃,12
H,10
b,10
θ,9
l̩,9
æ,8
p,7
n̩,7
ɔ,6
ɑ,5
u,4
a,3
