symbol,total_deletions
ʔ,1501
ɔ,652
ɨ,623
ɪ,429
ɚ,316
ə,291
t,263
ɑ,238
ɹ̩,192
ɹ,190
i,186
k,141
ɛ,138
g,104
l,86
ʊ,82
e,73
h,71
ʌ,71
ʉ,62
d,50
n,46
l̩,42
s,42
j,36
ɦ,32
ʒ,32
w,27
ɾ̃,25
n̩,22
u,21
ə̥,20
ʃ,20
ɾ,20
æ,16
p,12
o,10
ŋ,9
a,9
θ,8
v,8
ð,7
H,7
ɡ,7
b,6
f,6
z,5
m,4
m̩,2
