symbol,total_insertions
l,1258
ɹ,1157
d,939
t,818
n,796
ɪ,789
ə,614
ɡ,401
ɑː,326
ɐ,275
z,255
ʊ,223
uː,198
m,187
ᵻ,177
ʌ,167
h,136
ð,122
s,120
v,113
iː,101
æ,99
ɚ,97
ɔː,94
k,91
o,71
ɛ,69
i,58
ʒ,47
ɾ,35
ŋ,33
e,33
p,27
b,27
ʃ,21
j,21
a,19
w,16
ɜː,15
f,12
oː,9
θ,7
ɔ,4
ɲ,3
ɨ,2
ʎ,2
yː,1
ɟ,1
aː,1
r,1
