symbol,total_deletions
ɪ,2830
ɨ,1870
ʔ,1541
ɹ,1541
ʊ,1525
t,1481
l,1236
ə,1205
ɚ,1080
æ,778
d,564
ɔ,504
ʒ,502
ʃ,441
k,417
ɹ̩,412
ð,407
ʌ,346
s,341
ɾ,290
ɑ,285
z,247
ʉ,227
ɛ,213
n,208
ŋ,188
g,172
i,171
p,162
o,153
ə̥,152
e,134
n̩,126
l̩,125
ɾ̃,115
w,107
a,101
m,99
h,92
v,82
j,77
b,75
ɦ,71
H,49
θ,37
f,26
u,26
ɡ,14
m̩,10
ŋ̍,6
̩,3
