symbol,total_insertions
ɹ,1523
l,1160
ə,1156
d,967
t,885
n,772
ɡ,521
ɪ,416
j,416
z,316
k,258
w,224
m,215
s,208
h,203
ɹ̩,193
æ,158
u,152
ʌ,136
ð,135
v,132
i,94
ɔ,46
ɛ,45
ɑ,41
t͡ʃ,40
ŋ,33
p,33
b,32
d͡ʒ,28
f,21
ʊ,20
o,18
θ,17
a,14
e,8
ʃ,3
