symbol,total_insertions
ɹ,1526
l,1159
ə,1158
d,988
t,885
n,776
ɡ,524
j,416
ɪ,413
z,323
k,260
w,222
m,214
s,208
h,204
ɹ̩,189
æ,165
u,151
ð,138
ʌ,135
v,129
i,91
ɛ,45
ɑ,42
ɔ,42
t͡ʃ,40
b,36
ŋ,34
p,31
d͡ʒ,29
f,24
o,21
ʊ,20
θ,19
a,15
e,7
ʃ,2
