symbol,total_insertions
ɪ,783
ʌ,676
ɹ,545
d,453
l,432
n,380
t,341
ʃ,331
ʊ,319
k,253
s,247
ɹ̩,189
z,179
ɛ,165
u,152
m,144
ɡ,121
e,111
ʒ,90
ʔ,87
i,81
h,75
v,69
ɾ,55
ð,45
j,43
ɑ,39
f,37
p,36
b,36
w,32
ŋ,28
o,27
θ,23
a,18
æ,17
n̩,15
ɾ̃,10
l̩,9
ɔ,4
m̩,2
æ̃,1
