symbol,total_deletions
ʔ,2388
ɨ,878
ɪ,701
ʒ,641
ʃ,627
ʊ,441
t,250
ɹ,169
ə,167
ɛ,149
g,110
ɚ,109
ʌ,105
h,89
e,82
ɔ,77
ɑ,74
ʉ,67
d,61
i,50
ə̥,44
s,43
ɾ,42
n,33
ɦ,32
w,29
a,27
j,26
l̩,25
ɾ̃,24
n̩,23
v,19
k,18
l,17
ɹ̩,12
θ,12
æ,11
p,10
f,10
ŋ,7
z,7
u,7
ɡ,6
o,6
m,6
ð,6
H,5
m̩,3
b,2
