symbol,total_insertions
ɹ,1323
l,1029
ə,955
t,916
n,738
d,651
j,504
ɪ,370
ɡ,351
w,287
i,268
z,229
k,201
h,189
ɹ̩,180
m,136
ʌ,132
ð,123
v,117
u,115
æ,112
s,106
e,81
ɛ,72
o,62
a,58
ɔ,47
t͡ʃ,34
ŋ,32
d͡ʒ,31
ɑ,29
ʊ,27
f,20
b,19
θ,13
p,11
ʃ,1
