symbol,total_deletions
ʔ,2328
ɨ,1064
ɪ,886
ʒ,648
ʃ,624
ʊ,496
t,353
ə,259
ɹ,234
ɚ,208
ɛ,180
d,159
g,152
l,148
ɔ,145
ʌ,123
h,116
ɑ,103
e,101
s,99
i,87
ɾ,85
ʉ,80
ə̥,72
n,59
ɦ,56
k,52
w,50
m,48
v,47
ɾ̃,46
j,43
l̩,42
ð,42
æ,40
z,40
b,39
ɹ̩,35
f,33
a,32
θ,32
p,29
u,25
o,23
n̩,22
ŋ,20
H,11
ɡ,10
m̩,5
ŋ̍,1
