symbol,total_deletions
ʔ,2813
ɨ,709
ɪ,610
t,440
ə,424
ʊ,260
d,180
n,165
l,153
ɹ,134
ɚ,129
ə̥,118
g,114
h,92
ɔ,85
ɛ,75
ɑ,67
k,57
j,56
ɦ,47
w,44
i,41
æ,40
e,34
v,33
z,32
a,31
p,29
ʉ,24
b,23
m,22
s,21
ʌ,20
ɾ̃,20
ʒ,20
ʃ,18
ɾ,13
ð,13
l̩,13
ŋ,12
ɹ̩,12
o,11
f,10
H,9
θ,9
n̩,9
ɡ,8
u,6
m̩,2
