bin_start,bin_end,mean_duration,mean_phone_error_rate,sample_count
0.0322960000000023,0.0981909999999288,0.07623199999997604,1.0,4
0.1045479999999656,0.1988420000000132,0.1578564599999997,0.36666666666666664,50
0.2006769999999846,0.2995179999999777,0.25980619696969726,0.32331649831649834,198
0.3000000000000113,0.3999999999999772,0.3478138936877077,0.24433238411643726,301
0.4000000000000057,0.5,0.44716977611940234,0.2843579720445392,268
0.500001999999995,0.5997489999999956,0.5477987809523815,0.24060520167663024,210
0.6000000000000227,0.6968580000000202,0.6495564274809189,0.25383880326628416,131
0.7000769999999932,0.7989960000000167,0.7481209006211177,0.24460168885634725,161
0.802484,0.8999100000000055,0.8485428015267208,0.21703016212445939,131
0.9000000000000057,0.9979179999999984,0.9474243805309756,0.22627993587369186,113
1.0000180000000114,1.0994959999999878,1.0482426776859506,0.21826585476318092,121
1.1001360000000062,1.1999999999999886,1.1503671862745146,0.21962370705912507,102
1.200222999999994,1.295681000000002,1.2439325400000028,0.25263766771702606,100
1.3000000000000114,1.3950049999999692,1.3453672500000011,0.2528781920644075,128
1.4000580000000014,1.4993100000000368,1.4484301176470553,0.2386249360122549,102
1.500454999999988,1.599999999999966,1.5494100566037696,0.246897030620455,106
1.6015449999999871,1.697153999999955,1.6479885000000032,0.2285415800049094,88
1.700082000000009,1.7973719999999958,1.750408304347825,0.2302970846168544,69
1.8000000000000114,1.8977180000000544,1.8493887906976747,0.20964457488460364,86
1.9008699999999976,1.9997899999999904,1.9460915217391346,0.2358850761738255,69
2.00162499999999,2.099625000000003,2.0471115588235205,0.21455331585970572,68
2.1000000000000014,2.1987330000000043,2.1448954366197226,0.25178191509652736,71
2.2013450000000003,2.297519999999963,2.245471109090906,0.229158837004801,55
2.300283000000036,2.39785599999999,2.349517764705883,0.22683436286604258,68
2.4016449999999736,2.5,2.4468260441176453,0.25293992802518867,68
2.5016390000000115,2.5985339999999724,2.5484805714285708,0.24084369019377086,56
2.6035210000000006,2.692388000000001,2.651294558823527,0.2603372621753788,34
2.700409000000036,2.799230999999992,2.748586180000001,0.23945583240037915,50
2.801493999999998,2.898000000000025,2.8490724318181857,0.22246587858811792,44
2.9035030000000006,2.9973109999999963,2.951056415094338,0.2622496998739483,53
3.000720000000001,3.097007999999999,3.046048399999997,0.259077508653998,45
3.102270999999974,3.194480999999996,3.1526682291666606,0.2286102185015432,48
3.201337000000024,3.2960549999999955,3.251947163934429,0.23121667748171956,61
3.301839000000001,3.3999999999999773,3.347404363636365,0.26676958611181845,44
3.400869,3.493423000000007,3.4482491956521715,0.2585341373792195,46
3.504951000000005,3.5999999999999943,3.5569535348837205,0.2192577142382147,43
3.604217999999989,3.699436999999989,3.64758827777778,0.2376282106345427,36
3.701746000000014,3.79998999999998,3.7401379166666686,0.2850465119872412,36
3.8018569999999983,3.899483000000004,3.8543309999999993,0.26917496283354914,42
3.9047280000000057,3.990000000000009,3.9537368620689666,0.24418532388446082,29
4.009515999999991,4.096067999999999,4.061227750000006,0.23098302989161598,28
4.1028879999998935,4.197474,4.151439030303025,0.228309827661905,33
4.2000000000000455,4.296827000000008,4.246697823529413,0.22371186297085968,34
4.304465999999998,4.39929699999999,4.352473105263161,0.2603061270154553,38
4.400425000000013,4.497961999999973,4.444720333333326,0.2115583536290795,33
4.50314800000001,4.597545999999998,4.549820074074073,0.24360635442564132,27
4.603578000000013,4.689109999999971,4.6453550869565206,0.23528391832040296,23
4.707591000000008,4.793754000000007,4.751664870967743,0.2757814843597416,31
4.810818999999981,4.897935000000002,4.859736999999995,0.25450054420629215,29
4.900367000000017,4.999009999999998,4.953192923076928,0.2508801677797661,26
5.00320099999999,5.098803999999973,5.047437928571427,0.2379108550728631,28
5.101942000000008,5.198819999999955,5.147497967741926,0.5808032618441056,31
5.203027999999989,5.292124000000001,5.238897826086956,0.31055876599273274,23
5.303407000000007,5.397287000000006,5.34703325806452,0.2884772645805095,31
5.401319999999998,5.4983459999999695,5.446815227272731,0.2516694985884019,22
5.500209999999999,5.596168000000006,5.553117962962966,0.2630143141494358,27
5.601809000000003,5.6783379999999966,5.631512900000002,0.20900198389535193,20
5.701533999999981,5.799593000000016,5.752777400000005,0.2649819624790128,20
5.805419999999998,5.896223999999961,5.856854150000005,0.2524609590045316,20
5.930499999999995,5.984355999999934,5.956730636363636,0.28308797936134844,11
6.007563000000001,6.098062999999996,6.053454333333337,0.2369780173199734,12
6.103675999999993,6.176956000000018,6.141815705882354,0.2536206104170453,17
6.208190999999999,6.287527000000011,6.250340888888887,0.22986552117994746,18
6.303472999999997,6.392876999999999,6.3503217142857045,0.26183382313461745,14
6.407106999999996,6.490000000000009,6.447302866666673,0.23531141119544577,15
6.505561999999998,6.599732000000017,6.542174888888886,0.20797283581063886,9
6.600042999999999,6.692757000000029,6.650529631578953,0.25479485816243613,19
6.711997999999994,6.797145,6.7595888749999915,0.3275680210102918,16
